latitude,longitude,altitude,geometry,id,chapter,zoom,alt,image,source-credit,source-link,description
68.62492423,-144.2577504,,Point,1,1. Arctic National Wildlife Refuge,6,ANWR,img/northern_pintail.jpg,A Northern Pintail in the ANWR. Photo credit: Danny Brown,https://ak.audubon.org/conservation/arctic-national-wildlife-refuge,"The 19.6 million-acre Arctic National Wildlife Refuge is an exceptional example of a complete, intact, arctic and subarctic ecosystem on a vast scale. The largest national wildlife refuge in the United States,  it is home to a wide variety of species, such as polar bears, caribou, wolves, and migratory birds. Birds migrate from across the United States and from six continents in order to feed and reproduce in the Arctic Refuge, taking advantage of the burst of plant and insect life during the long days of the Arctic summer.

Although it was closed to oil drilling by an act of Congress in 1980, after months of negotiations—and vigorous opposition by Audubon and our partner conservation groups— President Trump has signed a tax bill into law that includes a provision that opens the ANWR to oil and gas drilling to offset massive corporate tax cuts. As dispiriting and offensive as this action is, we can still save the Arctic Refuge. A number of regulatory, scientific, political, financial, and infrastructure-related hurdles stand in the way of new leases, giving us opportunities to resist and reverse Congress’ bad policy decision."
57.63011225,-159.6171303,,Point,2,2. Bristol Bay,6,Bristol Bay,img/Bristol_Bay_shore.jpg,The Bristol Bay shore. Photo: Stan Shebs,https://ak.audubon.org/conservation/bristol-bay,"Bristol Bay is home to the world’s greatest concentration of seabirds, dozens of important bird areas, the world’s largest salmon runs, and is threatened by one of the world’s largest open pit mine proposals. The proposed Pebble Mine would be one of the world’s largest open-pit gold mines. The project would dig a 1-mile wide, 1-mile long, and 200m deep mining pit in the heart of spawning salmon and breeding bird habitat, destroying 3,500 acres of wetlands, lakes, and ponds, and over 80 miles of salmon streams.

Audubon Alaska with conservation partners, Alaska Native communities, the United Tribes of Bristol Bay, commercial and sport fishermen, subsistence hunters, and concerned citizens have said “No Pebble Mine” to Alaska legislators and the Pebble Limited Partnership. We ask you to join us in protecting birds, American jobs, Indigenous cultural ways of life, Alaska’s economy, and our nation’s most vital natural fish and wildlife resources of Bristol Bay."
60.51882401,-148.4290629,,Point,3,3. Chugach National Forest,6,Chugach NF,img/chugach.jpg,Alpine Lakes in the Chugach. Photo: Erin McKittrick,https://www.fs.usda.gov/main/chugach/about-forest,"Chugach National Forest, with its three distinct landscapes of the Copper River Delta, the Eastern Kenai Peninsula, and Prince William Sound, is approximately the size of the state of New Hampshire.  The Chugach has the largest contiguous wetlands on the Pacific Coast of North America, providing important habitat for dozends of bird species. The Prince William Sound is home to between 3 and 5 thousand bald eagles (the equivalent of the entire bald eagle population in the lower 48 states) as well as more than 200 active seabird colonies, and the Copper River Delta is considered one of the most essential shorebird habitats in the world."
63.29791059,-151.0521519,,Point,4,4. Denali National Park and Preserve ,6,Denali NP,img/denali.jpg,"Denali, the tallest peak in North America. Photo: Albert Herring",https://www.nps.gov/dena/index.htm,"Denali National Park and Preserve covers more than six million acres and numerous ecosystems, from low elevation deciduous taiga to mid-elevation tundra and high elevation alpine glaciers. It is home to many iconic species, including more than 300 grizzly bears, approximately 2700 black bears, over 2000 caribou, nearly 1500 moose, and some 50 wolves. The park also hosts a number of migratory bird species, particularly during the late spring and throughout the summer. The nearly 200 recorded species of birds in the park include waxwings, Arctic warblers, pine grosbeaks, and wheatears, as well as ptarmigan and the majestic tundra swan. Raptors include a variety of hawks, various owls, gyrfalcons, and bald and golden eagles."
67.91928544,-153.2641293,,Point,5,5. Gates of the Arctic National Park and Preserve,6,Gates of the Arctic NP,img/gates.jpg,"Sunset in the Brooks Range. Photo: Carl Johnson, NPS",https://www.nps.gov/gaar/index.htm,"In the 1930s, Robert Marshall identified two peaks, Frigid Crags and Boreal Mountain, as the gates from Alaska's central Brooks Range into the far north Arctic and Alaska's North Slope. The park protects nearly 8.5 million acres, slightly larger than the area of Belgium, and it is the northernmost National Park in the United States, lying completely above the Arctic Circle. The park protects a variety of iconic mammals and birds, including more than half a million caribou, including the Central Arctic, Western Arctic, Teshekpuk, and Porcupine herds, that migrate through the central Brooks Range twice yearly. Bird species in the park include bald eagles, golden eagles, peregrine falcons, ospreys, and great horned and northern hawk owls."
55.36310874,-162.4466202,,Point,6,6. Izembek National Wildlife Refuge,6,Izembek NWR,img/izembek.png,"Brant in Izembek NWR. Photo: Kristine Sowl, USFWS",https://ak.audubon.org/conservation/izembek-national-wildlife-refuge,"Izembek National Wildlife Refuge, part of the globally significant Izembek-Moffet-Kinzarof Lagoons Important Bird Area, is a remarkably important migration stopover for many birds migrating to and from Arctic breeding grounds. More than 82 species have been documented here, and the area regularly supports more than 90 percent of Brant that use the Pacific Flyway, more than half the world population of Emperor Geese, and a significant percentage of the world populations of Steller's Eider and Taverner's Cackling Goose.  

In January 2018, the Department of the Interior signed a land transfer agreement that would have facilitated the building of a road through federally designated wilderness and internationally recognized bird habitat. National Audubon Society and eight other parties sued the Department of the Interior for this questionable deal. The court agreed and vacated the land exchange, representing a huge win for the birds and other wildlife of Izembek NWR. "
69.81881522,-156.8881873,,Point,7,7. National Petroleum Reserve - Alaska,6,NPR-A,img/npra.jpg,Snow Goose family at Teshekpuk Lake. Photo: Kiliii Yuyan,https://ak.audubon.org/conservation/national-petroleum-reserve-alaska,"Central to Alaska's Western Arctic -- arguably the wildest, most remote land area in the US -- is the 23-million acre National Petroleum Reserve - Alaska (NPR-A). Despite its name, the NPRA is an area of incredible birds and wildlife, in addition to the subsurface petroleum reserves. The Western Arctic's coastal plain is one of the largest wetland complexes in the circumpolar Arctic, attracting globally significant abundance of waterfowl, shore­birds, and raptors, and earning the name “America’s Bird Basket”. Birds from the Western Arctic disperse along all four major flyways of the United States, as well as to Asia and beyond. Teshekpuk Lake, a giant lake in the northeast corner of the Reserve, is a globally significant area for migratory birds.

After recent oil discoveries and an order from the Trump administration's Department of Interior, however, many companies are pushing for more parts of the NPR-A to be opened to oil and gas leasing. Audubon and its partners are keeping a close eye on the areas being considered for development in order to safeguard that natural treasures of the NPR-A. "
57.71423708,-134.4511718,,Point,8,8. Tongass National Forest,6,Tongass NF,img/tongass.jpg,Young Spruce Grouse in the Tongass. Photo: Milo Burcham,https://ak.audubon.org/conservation/tongass-national-forest,"The Tongass National Forest in Southeast Alaska is our nation’s largest national forest, nearly 17 million acres in size. In combination with British Columbia’s Great Bear Rainforest immediately to the south, it encompasses the largest intact temperate rainforest on earth. The Tongass supports abundant fish and wildlife, including all five species of Pacific salmon, brown (grizzly) bears, wolves, Sitka black-tailed deer, Bald Eagles, Northern Goshawks, and Marbled Murrelets.

Logging over the last century, however, has changed the Tongass, particularly by targeting the rare, old-growth forest stands with the biggest trees. To-date, perhaps half of the Tongass' big-tree old growth has been cut. Yet these same, productive stands are also the most important for fish, wildlife, and ecosystem integrity. Moreover, the Trump administration plans to exempt regions of the Tongass from the 2001 Roadless Rule. Roadless areas are home to salmon, grouse, goshawks, bears, wolves, and many other birds and wildlife, and they provide humans with opportunities for fishing, hunting, bird-watching, backpacking, and wilderness solitude. 

The Tongass National Forest provides us with the greatest opportunity in the nation, if not the world, for protecting temperate rainforest at the ecosystem scale. But this opportunity will require a new, balanced approach for conserving the most important places in the forest while also providing sustainable economic opportunities for local communities."
61.32595138,-163.2538723,,Point,9,9. Yukon Delta National Wildlife Refuge,6,Yukon Delta NWR,img/yukon.jpg,An Emperor Goose. Photo: Milo Burcham,https://www.fws.gov/refuge/Yukon_Delta/about.html,"The Yukon Delta National Wildlife Refuge is a vast, flat wetland/tundra complex interspersed by countless ponds, lakes, and rivers. The refuge supports one of the largest aggregations of water birds in the world, and the coastal region along the Bering Sea is unquestionably the most productive goose nesting habitat in North America, supporting an estimated half a million geese annually. The refuge also hosts approximately 80% of the continental breeding population of black brant, nearly all emperor geese, and one-third of the continent's northern pintails. In terms of both density and species diversity, the delta is the most important shorebird nesting area in the country, and the vast intertidal zone is the most important wetland for post-breeding shorebirds on the west coast of North America. In addition to waterbirds, the Kisaralik River is among the most important areas on the refuge for nesting raptors, and supports one of the densest breeding populations of breeding golden eagles in North America."
58.253027,-175.657889,,Point,10,10. Bering Sea,6,Bering Sea,img/bering.png,Parakeet Auklet. Photo: Milo Burcham,https://ak.audubon.org/conservation/bering-sea,"The Bering Strait region is an ecological hotspot of global proportions. At the center, the narrow 53-mile-wide Bering Strait is the only waterway connecting the Pacific and Arctic Oceans. Major currents and sea ice fuel extremely high plankton and sea floor productivity which attracts more than 10 million nesting seabirds such as Least and Parakeet Auklets, as well as the global population of wintering Spectacled Eiders. Because the Strait is the only passage between the Pacific and Arctic Oceans, all wildlife that live in the Chukchi and Beaufort Seas in the summer months funnel through the Bering Strait twice each year during spring and fall migration.

Any environmental damage to the strait (such as a tanker spill) could have great impacts. In July 2018, Audubon Alaska received a formal commendation from the U.S. Coast Guard for our work on a Bering Strait ship routing study which resulted in international recognition and protection for areas that Audubon identified as crucial for birds and marine mammals in the region."
